x,y,type,population
505.0,25.0,D,1500
505.0,105.0,D,1500
505.0,185.0,D,3000
505.0,265.0,D,3000
505.0,345.0,D,3000
505.0,425.0,D,1500
505.0,505.0,E,1500
505.0,585.0,A,3000
505.0,665.0,A,8000
505.0,745.0,A,50000
505.0,825.0,A,50000
505.0,905.0,A,3000
505.0,985.0,A,1500
585.0,25.0,D,1500
585.0,105.0,D,3000
585.0,185.0,D,8000
585.0,265.0,D,8000
585.0,345.0,D,8000
585.0,425.0,D,3000
585.0,505.0,E,3000
585.0,585.0,E,3000
585.0,665.0,A,3000
585.0,745.0,A,8000
585.0,825.0,A,8000
585.0,905.0,A,3000
585.0,985.0,A,1500
665.0,25.0,D,1500
665.0,105.0,D,3000
665.0,185.0,D,8000
665.0,265.0,D,50000
665.0,345.0,D,8000
665.0,425.0,D,3000
665.0,505.0,E,3000
665.0,585.0,E,8000
665.0,665.0,E,3000
665.0,745.0,A,3000
665.0,825.0,A,3000
665.0,905.0,A,1500
665.0,985.0,A,1500
745.0,25.0,D,1500
745.0,105.0,D,3000
745.0,185.0,D,8000
745.0,265.0,D,8000
745.0,345.0,D,8000
745.0,425.0,E,3000
745.0,505.0,E,8000
745.0,585.0,E,50000
745.0,665.0,E,8000
745.0,745.0,E,3000
745.0,825.0,E,1500
745.0,905.0,A,1500
745.0,985.0,A,800
825.0,25.0,D,1500
825.0,105.0,D,1500
825.0,185.0,D,3000
825.0,265.0,D,3000
825.0,345.0,D,3000
825.0,425.0,E,3000
825.0,505.0,E,8000
825.0,585.0,E,8000
825.0,665.0,E,8000
825.0,745.0,E,3000
825.0,825.0,E,1500
825.0,905.0,E,800
825.0,985.0,A,800
905.0,25.0,D,800
905.0,105.0,D,1500
905.0,185.0,D,1500
905.0,265.0,D,1500
905.0,345.0,D,1500
905.0,425.0,E,1500
905.0,505.0,E,3000
905.0,585.0,E,3000
905.0,665.0,E,3000
905.0,745.0,E,1500
905.0,825.0,E,1500
905.0,905.0,E,800
905.0,985.0,E,500
985.0,25.0,D,500
985.0,105.0,D,800
985.0,185.0,D,800
985.0,265.0,D,800
985.0,345.0,E,800
985.0,425.0,E,1500
985.0,505.0,E,1500
985.0,585.0,E,1500
985.0,665.0,E,1500
985.0,745.0,E,1500
985.0,825.0,E,800
985.0,905.0,E,800
985.0,985.0,E,500
25.0,65.0,C,500
25.0,145.0,C,500
25.0,225.0,C,500
25.0,305.0,C,500
25.0,385.0,B,500
25.0,465.0,B,500
25.0,545.0,B,500
25.0,625.0,B,500
25.0,705.0,B,500
25.0,785.0,B,500
25.0,865.0,B,500
25.0,945.0,B,500
65.0,25.0,C,500
65.0,65.0,C,500
65.0,105.0,C,500
65.0,145.0,C,500
65.0,185.0,C,500
65.0,225.0,C,500
65.0,265.0,C,500
65.0,305.0,C,500
65.0,345.0,C,500
65.0,385.0,B,500
65.0,425.0,B,500
65.0,465.0,B,500
65.0,505.0,B,500
65.0,545.0,B,500
65.0,585.0,B,500
65.0,625.0,B,500
65.0,665.0,B,500
65.0,705.0,B,500
65.0,745.0,B,500
65.0,785.0,B,500
65.0,825.0,B,500
65.0,865.0,B,500
65.0,905.0,B,500
65.0,945.0,B,500
65.0,985.0,B,500
105.0,65.0,C,500
105.0,145.0,C,500
105.0,225.0,C,500
105.0,305.0,C,500
105.0,385.0,B,500
105.0,465.0,B,500
105.0,545.0,B,500
105.0,625.0,B,500
105.0,705.0,B,500
105.0,785.0,B,500
105.0,865.0,B,500
105.0,945.0,B,500
145.0,25.0,C,500
145.0,65.0,C,500
145.0,105.0,C,500
145.0,145.0,C,500
145.0,185.0,C,500
145.0,225.0,C,500
145.0,265.0,C,500
145.0,305.0,C,500
145.0,345.0,C,500
145.0,385.0,B,500
145.0,425.0,B,500
145.0,465.0,B,500
145.0,505.0,B,500
145.0,545.0,B,500
145.0,585.0,B,500
145.0,625.0,B,500
145.0,665.0,B,500
145.0,705.0,B,500
145.0,745.0,B,500
145.0,785.0,B,500
145.0,825.0,B,500
145.0,865.0,B,500
145.0,905.0,B,500
145.0,945.0,B,500
145.0,985.0,B,500
185.0,65.0,C,500
185.0,145.0,C,500
185.0,225.0,C,500
185.0,305.0,C,500
185.0,385.0,C,500
185.0,465.0,B,500
185.0,545.0,B,500
185.0,625.0,B,500
185.0,705.0,B,500
185.0,785.0,B,500
185.0,865.0,B,500
185.0,945.0,A,500
225.0,25.0,C,500
225.0,65.0,C,500
225.0,105.0,C,500
225.0,145.0,C,500
225.0,185.0,C,500
225.0,225.0,C,500
225.0,265.0,C,500
225.0,305.0,C,500
225.0,345.0,C,500
225.0,385.0,C,500
225.0,425.0,B,500
225.0,465.0,B,500
225.0,505.0,B,500
225.0,545.0,B,500
225.0,585.0,B,500
225.0,625.0,B,500
225.0,665.0,B,500
225.0,705.0,B,500
225.0,745.0,B,500
225.0,785.0,B,500
225.0,825.0,B,500
225.0,865.0,B,500
225.0,905.0,A,500
225.0,945.0,A,500
225.0,985.0,A,500
265.0,65.0,C,500
265.0,145.0,C,500
265.0,225.0,C,500
265.0,305.0,C,500
265.0,385.0,C,500
265.0,465.0,B,500
265.0,545.0,B,500
265.0,625.0,B,500
265.0,705.0,B,500
265.0,785.0,B,500
265.0,865.0,A,500
265.0,945.0,A,500
305.0,25.0,C,500
305.0,65.0,C,500
305.0,105.0,C,500
305.0,145.0,C,500
305.0,185.0,C,500
305.0,225.0,C,500
305.0,265.0,C,500
305.0,305.0,C,500
305.0,345.0,C,500
305.0,385.0,C,500
305.0,425.0,C,500
305.0,465.0,B,500
305.0,505.0,B,500
305.0,545.0,B,500
305.0,585.0,B,500
305.0,625.0,B,500
305.0,665.0,B,500
305.0,705.0,B,500
305.0,745.0,B,500
305.0,785.0,A,500
305.0,825.0,A,500
305.0,865.0,A,500
305.0,905.0,A,500
305.0,945.0,A,500
305.0,985.0,A,500
345.0,65.0,C,500
345.0,145.0,C,500
345.0,225.0,C,500
345.0,305.0,C,500
345.0,385.0,C,500
345.0,465.0,B,500
345.0,545.0,B,500
345.0,625.0,B,500
345.0,705.0,B,500
345.0,785.0,A,500
345.0,865.0,A,500
345.0,945.0,A,500
385.0,25.0,C,500
385.0,65.0,C,500
385.0,105.0,C,500
385.0,145.0,C,500
385.0,185.0,C,500
385.0,225.0,C,500
385.0,265.0,C,500
385.0,305.0,C,500
385.0,345.0,C,500
385.0,385.0,C,500
385.0,425.0,C,500
385.0,465.0,B,500
385.0,505.0,B,500
385.0,545.0,B,500
385.0,585.0,B,500
385.0,625.0,B,500
385.0,665.0,A,500
385.0,705.0,A,500
385.0,745.0,A,500
385.0,785.0,A,500
385.0,825.0,A,500
385.0,865.0,A,500
385.0,905.0,A,500
385.0,945.0,A,500
385.0,985.0,A,500
425.0,65.0,C,500
425.0,145.0,C,500
425.0,225.0,C,500
425.0,305.0,C,500
425.0,385.0,C,500
425.0,465.0,C,500
425.0,545.0,B,500
425.0,625.0,A,500
425.0,705.0,A,500
425.0,785.0,A,500
425.0,865.0,A,500
425.0,945.0,A,500
465.0,25.0,C,500
465.0,65.0,C,500
465.0,105.0,C,500
465.0,145.0,C,500
465.0,185.0,C,500
465.0,225.0,C,500
465.0,265.0,C,500
465.0,305.0,C,500
465.0,345.0,C,500
465.0,385.0,C,500
465.0,425.0,C,500
465.0,465.0,C,500
465.0,505.0,B,500
465.0,545.0,B,500
465.0,585.0,A,500
465.0,625.0,A,500
465.0,665.0,A,500
465.0,705.0,A,500
465.0,745.0,A,500
465.0,785.0,A,500
465.0,825.0,A,500
465.0,865.0,A,500
465.0,905.0,A,500
465.0,945.0,A,500
465.0,985.0,A,500
505.0,65.0,D,500
505.0,145.0,D,500
505.0,225.0,D,500
505.0,305.0,D,500
505.0,385.0,D,500
505.0,465.0,D,500
505.0,545.0,A,500
505.0,625.0,A,500
505.0,705.0,A,500
505.0,785.0,A,500
505.0,865.0,A,500
505.0,945.0,A,500
545.0,25.0,D,500
545.0,65.0,D,500
545.0,105.0,D,500
545.0,145.0,D,500
545.0,185.0,D,500
545.0,225.0,D,500
545.0,265.0,D,500
545.0,305.0,D,500
545.0,345.0,D,500
545.0,385.0,D,500
545.0,425.0,D,500
545.0,465.0,D,500
545.0,505.0,E,500
545.0,545.0,E,500
545.0,585.0,A,500
545.0,625.0,A,500
545.0,665.0,A,500
545.0,705.0,A,500
545.0,745.0,A,500
545.0,785.0,A,500
545.0,825.0,A,500
545.0,865.0,A,500
545.0,905.0,A,500
545.0,945.0,A,500
545.0,985.0,A,500
585.0,65.0,D,500
585.0,145.0,D,500
585.0,225.0,D,500
585.0,305.0,D,500
585.0,385.0,D,500
585.0,465.0,D,500
585.0,545.0,E,500
585.0,625.0,A,500
585.0,705.0,A,500
585.0,785.0,A,500
585.0,865.0,A,500
585.0,945.0,A,500
625.0,25.0,D,500
625.0,65.0,D,500
625.0,105.0,D,500
625.0,145.0,D,500
625.0,185.0,D,500
625.0,225.0,D,500
625.0,265.0,D,500
625.0,305.0,D,500
625.0,345.0,D,500
625.0,385.0,D,500
625.0,425.0,D,500
625.0,465.0,E,500
625.0,505.0,E,500
625.0,545.0,E,500
625.0,585.0,E,500
625.0,625.0,E,500
625.0,665.0,E,500
625.0,705.0,A,500
625.0,745.0,A,500
625.0,785.0,A,500
625.0,825.0,A,500
625.0,865.0,A,500
625.0,905.0,A,500
625.0,945.0,A,500
625.0,985.0,A,500
665.0,65.0,D,500
665.0,145.0,D,500
665.0,225.0,D,500
665.0,305.0,D,500
665.0,385.0,D,500
665.0,465.0,E,500
665.0,545.0,E,500
665.0,625.0,E,500
665.0,705.0,E,500
665.0,785.0,A,500
665.0,865.0,A,500
665.0,945.0,A,500
705.0,25.0,D,500
705.0,65.0,D,500
705.0,105.0,D,500
705.0,145.0,D,500
705.0,185.0,D,500
705.0,225.0,D,500
705.0,265.0,D,500
705.0,305.0,D,500
705.0,345.0,D,500
705.0,385.0,D,500
705.0,425.0,D,500
705.0,465.0,E,500
705.0,505.0,E,500
705.0,545.0,E,500
705.0,585.0,E,500
705.0,625.0,E,500
705.0,665.0,E,500
705.0,705.0,E,500
705.0,745.0,E,500
705.0,785.0,A,500
705.0,825.0,A,500
705.0,865.0,A,500
705.0,905.0,A,500
705.0,945.0,A,500
705.0,985.0,A,500
745.0,65.0,D,500
745.0,145.0,D,500
745.0,225.0,D,500
745.0,305.0,D,500
745.0,385.0,D,500
745.0,465.0,E,500
745.0,545.0,E,500
745.0,625.0,E,500
745.0,705.0,E,500
745.0,785.0,E,500
745.0,865.0,A,500
745.0,945.0,A,500
785.0,25.0,D,500
785.0,65.0,D,500
785.0,105.0,D,500
785.0,145.0,D,500
785.0,185.0,D,500
785.0,225.0,D,500
785.0,265.0,D,500
785.0,305.0,D,500
785.0,345.0,D,500
785.0,385.0,D,500
785.0,425.0,E,500
785.0,465.0,E,500
785.0,505.0,E,500
785.0,545.0,E,500
785.0,585.0,E,500
785.0,625.0,E,500
785.0,665.0,E,500
785.0,705.0,E,500
785.0,745.0,E,500
785.0,785.0,E,500
785.0,825.0,E,500
785.0,865.0,E,500
785.0,905.0,A,500
785.0,945.0,A,500
785.0,985.0,A,500
825.0,65.0,D,500
825.0,145.0,D,500
825.0,225.0,D,500
825.0,305.0,D,500
825.0,385.0,D,500
825.0,465.0,E,500
825.0,545.0,E,500
825.0,625.0,E,500
825.0,705.0,E,500
825.0,785.0,E,500
825.0,865.0,E,500
825.0,945.0,E,500
865.0,25.0,D,500
865.0,65.0,D,500
865.0,105.0,D,500
865.0,145.0,D,500
865.0,185.0,D,500
865.0,225.0,D,500
865.0,265.0,D,500
865.0,305.0,D,500
865.0,345.0,D,500
865.0,385.0,E,500
865.0,425.0,E,500
865.0,465.0,E,500
865.0,505.0,E,500
865.0,545.0,E,500
865.0,585.0,E,500
865.0,625.0,E,500
865.0,665.0,E,500
865.0,705.0,E,500
865.0,745.0,E,500
865.0,785.0,E,500
865.0,825.0,E,500
865.0,865.0,E,500
865.0,905.0,E,500
865.0,945.0,E,500
865.0,985.0,E,500
905.0,65.0,D,500
905.0,145.0,D,500
905.0,225.0,D,500
905.0,305.0,D,500
905.0,385.0,E,500
905.0,465.0,E,500
905.0,545.0,E,500
905.0,625.0,E,500
905.0,705.0,E,500
905.0,785.0,E,500
905.0,865.0,E,500
905.0,945.0,E,500
945.0,25.0,D,500
945.0,65.0,D,500
945.0,105.0,D,500
945.0,145.0,D,500
945.0,185.0,D,500
945.0,225.0,D,500
945.0,265.0,D,500
945.0,305.0,D,500
945.0,345.0,D,500
945.0,385.0,E,500
945.0,425.0,E,500
945.0,465.0,E,500
945.0,505.0,E,500
945.0,545.0,E,500
945.0,585.0,E,500
945.0,625.0,E,500
945.0,665.0,E,500
945.0,705.0,E,500
945.0,745.0,E,500
945.0,785.0,E,500
945.0,825.0,E,500
945.0,865.0,E,500
945.0,905.0,E,500
945.0,945.0,E,500
945.0,985.0,E,500
985.0,65.0,D,500
985.0,145.0,D,500
985.0,225.0,D,500
985.0,305.0,D,500
985.0,385.0,E,500
985.0,465.0,E,500
985.0,545.0,E,500
985.0,625.0,E,500
985.0,705.0,E,500
985.0,785.0,E,500
985.0,865.0,E,500
985.0,945.0,E,500
